830176313	20180312	201803	2018	2018.1973	LEG	CONGRESS						LEG			GOV	PRESIDENT						GOV			0	120	120	12	3	-4.0	2	1	2	-3.40136054421769	3	Great Lakes, Illinois, United States	US	USIL	IL097	42.3092	-87.8501	2027044	3	Neillsville, Wisconsin, United States	US	USWI	WI019	44.56	-90.5963	1570146	3	Great Lakes, Illinois, United States	US	USIL		42.3092	-87.8501	2027044	20190312143000	https://www.rivertowns.net/news/government-and-politics/4583476-wisconsin-roundup-states-democrats-republicans-praise-choice
830176314	20180312	201803	2018	2018.1973	MDA	MOLDOVA	MDA								TURGOV	TURKISH	TUR					GOV			1	043	043	04	1	2.8	6	1	6	5.21472392638037	1	Moldova	MD	MD		47	29	MD	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20190312143000	https://www.yenisafak.com/en/news/turkey-moldova-enjoy-strategic-partnership-envoy-3476481
830176315	20180312	201803	2018	2018.1973	OPP	ACTIVIST						OPP													1	172	172	17	4	-5.0	3	1	3	-1.1764705882353	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20190312143000	https://www.infosecurity-magazine.com:443/news/nonuk-farright-twitter-accounts-1-1/
830176316	20180312	201803	2018	2018.1973	OPP	ACTIVIST						OPP			GBR	UNITED KINGDOM	GBR								1	172	172	17	4	-5.0	1	1	1	-1.1764705882353	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20190312143000	https://www.infosecurity-magazine.com:443/news/nonuk-farright-twitter-accounts-1-1/
830176317	20180312	201803	2018	2018.1973	PHL	PHILIPPINE	PHL								PRT	LISBON	PRT								0	020	020	02	1	3.0	2	1	2	-1.80878552971576	1	Philippines	RP	RP		13	122	RP	4	Lisbon, Lisboa, Portugal	PO	PO14	24830	38.7167	-9.13333	-2167973	1	Philippines	RP	RP		13	122	RP	20190312143000	http://cnnphilippines.com/world/2019/3/12/tim-berners-lee-internet-anniversary-open-letter.html
830176318	20180312	201803	2018	2018.1973	PRT	LISBON	PRT																		0	020	020	02	1	3.0	6	1	6	-2.19512195121952	1	France	FR	FR		46	2	FR	0								1	France	FR	FR		46	2	FR	20190312143000	https://www.click2houston.com/tech/www-turns-30-inventor-calls-for-fight-against-hacking-abuse-1
830176319	20180312	201803	2018	2018.1973	TUR	TURKISH	TUR								TURGOV	TURKEY	TUR					GOV			1	042	042	04	1	1.9	4	1	4	5.21472392638037	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20190312143000	https://www.yenisafak.com/en/news/turkey-moldova-enjoy-strategic-partnership-envoy-3476481
830176320	20180312	201803	2018	2018.1973	TURGOV	TURKISH	TUR					GOV			MDA	MOLDOVA	MDA								1	042	042	04	1	1.9	6	1	6	5.21472392638037	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	1	Moldova	MD	MD		47	29	MD	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20190312143000	https://www.yenisafak.com/en/news/turkey-moldova-enjoy-strategic-partnership-envoy-3476481
830176321	20180312	201803	2018	2018.1973	TURGOV	TURKEY	TUR					GOV			TUR	TURKISH	TUR								1	043	043	04	1	2.8	4	1	4	5.21472392638037	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	4	Ankara, Ankara, Turkey	TU	TU68	27516	39.9272	32.8644	-735338	20190312143000	https://www.yenisafak.com/en/news/turkey-moldova-enjoy-strategic-partnership-envoy-3476481
830176322	20180312	201803	2018	2018.1973	UAF	ARMED MEN						UAF			LAB	WORKER						LAB			1	190	190	19	4	-10.0	5	1	5	-2.45098039215687	4	Wamena, Papua, Indonesia	ID	ID36	18585	-3.91667	138.733	-2702492	4	Wamena, Papua, Indonesia	ID	ID36	18585	-3.91667	138.733	-2702492	4	Wamena, Papua, Indonesia	ID	ID36	18585	-3.91667	138.733	-2702492	20190312143000	https://en.tempo.co/read/1184583/tni-takeover-construction-work-for-21-bridges-in-papuas-nduga
