849662037	20180603	201806	2018	2018.4192	AUT	VIENNA	AUT								USACVL	BROOKINGS INSTITUT	USA					CVL			0	010	010	01	1	0.0	5	1	5	-3.9674465920651	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20190603091500	https://www.thecable.ng/comrade-aisha-buhari-beyond-the-other-room
849662038	20180603	201806	2018	2018.4192	BUS	CORPORATION						BUS													0	030	030	03	1	4.0	5	1	5	0.110741971207088	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	0								3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	20190603091500	http://www.bu.edu/today/2019/construction-in-kenmore-square/
849662039	20180603	201806	2018	2018.4192	GBR	UNITED KINGDOM	GBR																		0	111	111	11	3	-2.0	2	1	2	-2.10803689064558	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20190603091500	http://dunyanews.tv/en/World/494540-Trump-lands-Britain-state-visit
849662040	20180603	201806	2018	2018.4192	GOV	PRIME MINISTER						GOV			PHL	FILIPINO	PHL								0	051	051	05	1	3.4	2	1	2	6.53753026634383	4	Davao City, Davao City, Philippines	RP	RPC3	24267	7.07306	125.613	-2424066	4	Akasaka, Aichi, Japan	JA	JA01	33433	34.85	137.3	-225226	4	Akasaka, Aichi, Japan	JA	JA01	33433	34.85	137.3	-225226	20190603091500	https://radyonatin.com/story.php?storyid=34201
849662041	20180603	201806	2018	2018.4192	GOVBUS	RESERVE BANK						GOV	BUS		BUS	BANK						BUS			0	100	100	10	3	-5.0	5	1	5	-3.35195530726257	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	20190603091500	https://www.smh.com.au/business/banking-and-finance/australians-private-details-exposed-in-attack-on-westpac-s-payid-20190603-p51u2u.html
849662042	20180603	201806	2018	2018.4192	IRL	LIMERICK	IRL																		0	071	071	07	2	7.4	5	1	5	-3.45622119815668	0								0								0								20190603091500	https://www.limerickleader.ie/news/home/421424/limerick-ppn-members-callfor-transparency.html
849662043	20180603	201806	2018	2018.4192	NGA	NIGERIAN	NGA								USACVL	BROOKINGS INSTITUT	USA					CVL			0	010	010	01	1	0.0	5	1	5	-3.9674465920651	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	1	Nigeria	NI	NI		10	8	NI	20190603091500	https://www.thecable.ng/comrade-aisha-buhari-beyond-the-other-room
849662044	20190504	201905	2019	2019.3397	CVL	COMMUNITY						CVL			GOVMIL	DEPARTMENT OF DEFENSE						GOV	MIL		0	115	115	11	3	-2.0	1	1	1	-2.60960334029228	3	Pikes Peak, Colorado, United States	US	USCO	CO041	38.8405	-105.044	204770	3	Peterson Air Force Base, Colorado, United States	US	USCO		38.8236	-104.695	2511974	3	Pikes Peak, Colorado, United States	US	USCO		38.8405	-105.044	204770	20190603091500	http://nmpoliticalreport.com/2019/06/03/see-where-pfas-pollution-has-been-confirmed-in-the-american-west/
849662045	20190504	201905	2019	2019.3397	GBRGOVHRI	THERESA MAY	GBR					GOV	HRI												0	080	080	08	2	5.0	4	1	4	-0.43196544276458	4	Chatham, Medway, United Kingdom	UK	UKI3	40117	51.3833	0.516667	-2592300	0								4	Chatham, Medway, United Kingdom	UK	UKI3	40117	51.3833	0.516667	-2592300	20190603091500	https://sg.finance.yahoo.com/news/special-relationship-us-uk-ties-084139586.html
849662046	20190504	201905	2019	2019.3397	GBRGOVHRI	THERESA MAY	GBR					GOV	HRI												0	0831	083	08	2	5.0	4	1	4	-0.43196544276458	4	Chatham, Medway, United Kingdom	UK	UKI3	40117	51.3833	0.516667	-2592300	0								4	Chatham, Medway, United Kingdom	UK	UKI3	40117	51.3833	0.516667	-2592300	20190603091500	https://sg.finance.yahoo.com/news/special-relationship-us-uk-ties-084139586.html
